繪圖紅樓夢卷一 ||| Họa đồ Hồng Lâu Mộng, quyển thứ nhất.
第一囘甄士隱夢幻識通靈賈雨村風塵_懷閨秀 ||| Hồi thứ nhất: Chân Sĩ Ẩn mộng ảo ngộ đá thiêng, Giả Vũ Thôn phong trần nhớ giai nhân.
此開卷第一回也作者自云_曾歷過一番夢幻之_後故將眞事隱去而借通集_說_此石頭記一書也故曰甄士隱云云但書中所記何事何 ||| Quyển sách này mở đầu bằng hồi thứ nhất. Tác giả tự thuật rằng, sau khi trải qua một giấc mộng lớn, đã quyết định giấu đi những sự việc có thật, mượn chuyện hòn đá để viết nên bộ Thạch Đầu Ký này, vì vậy mới có nhân vật Chân Sĩ Ẩn...
人自己又云今風塵碌碌一事無成忽念及當日所有之女子一一細考較去覺其行止見識皆出_我之上我堂堂指眉誠不若彼裙釵我 ||| Nay ta sống giữa bụi trần, luống những tháng ngày vô vị. Bỗng nhớ lại những bóng hồng xưa kia, đem lòng suy xét, mới hay tài năng, đức hạnh của họ đều vượt xa ta. Ta thân là bậc trượng phu, mà còn kém cỏi trước những bậc khuê các, thật đáng hổ thẹn biết bao!
實愧則有_餘悔又無益_大無可如何之日也常此日欲將已往所賴天恩祖德錦衣紈袴之時飫甘用肥之日背父母敎育之恩負師友規 ||| Thật hổ thẹn, hối hận thì đã muộn, biết làm sao đây! Ngày trước, nhờ ơn trời, đức tổ, được ăn ngon mặc đẹp, mà lại phụ ơn cha mẹ, trái lời thầy bạn, đến nỗi ngày nay chẳng nên trò trống gì, thật là đáng trách!
__訓___________________________________之德以_致今日一技無成半生潦倒之罪編述一集以告天下_知我之負罪固__多然重閣中__歷歷有人_萬不可因我之不肖自_锁己短一______ ||| Nay ta nghĩ lại, trước kia nhờ ơn trời, nhờ tổ tiên, được ăn ngon mặc đẹp, mà phụ công nuôi dạy của cha mẹ, trái lời răn dạy của thầy bạn, đến nỗi ngày nay một nghề không thành, nửa đời long đong, nên muốn đem những chuyện đó chép thành một bộ sách để bày tỏ với mọi người, ta biết rằng mình mang tội rất nhiều. Nhưng trong khuê các còn biết bao người tài giỏi, ta không thể mượn cớ ngu dại muốn che giấu lỗi mình, để cho họ bị mai một.
北使其泯诚也所以蓬牖茅椽繩庆瓦电並不足妨我襟懷況那晨風夕月谐柳庭花更覺得潤人筆墨我雖不學無文又何妨用假語村 ||| Dù lều tranh vách đất, gió sớm trăng khuya, hoa sân liễu ngõ, cũng đủ làm cho lòng ta thêm hứng khởi mà vung bút viết nên những lời này. Dẫu cho ta đây học ít tài hèn, văn chương chẳng có, cũng chẳng ngại ngần mượn lời quê kệch mà thêu dệt nên câu chuyện này, mong mua vui cho thiên hạ.
言敷衍出來亦可使閨閣昭傳復可破一時之悶醚同人之目不亦宜乎故网賈雨村云云更於編中間用夢幻等字却是此書本旨兼寓 ||| Lời lẽ hoa mỹ bóng bẩy, có thể khiến các khuê các truyền tụng, lại có thể giải khuây, khiến người đọc không thấy nhàm chán, há chẳng phải rất hợp lẽ sao? Bởi vậy, tác giả mượn lời Giả Vũ Thôn, lại dùng thêm những chữ mộng ảo, chính là để nói rõ ý chính của cuốn sách này.
__提醒間者之意看官你道此書從何而起說來雅近釐唐細玩頗有趣味却說那女媧氏煉石補天之時於大荒山無稽崖煉成高十二丈 ||| Để nhắc nhở người đọc, xin hỏi rằng cuốn sách này từ đâu mà ra? Nói về nguồn gốc thì có vẻ hoang đường, nhưng xem kỹ thì rất thú vị. Tôi xin kể rõ lai lịch để độc giả khỏi lầm:
見方二十四丈大的頑石三萬六千五百零一塊那嫱皇_只用了三_萬六千五百塊_單單剩_下一塊未用_棄在__青埂_峯下雅知此石自經鍛 ||| Thấy Nữ Oa nương nương luyện đá vá trời, dùng ba vạn sáu nghìn năm trăm viên đá lớn, mỗi viên cao mười hai trượng, vuông hai mươi bốn trượng. Nhưng chỉ dùng ba vạn sáu nghìn năm trăm viên, còn dư một viên, bèn bỏ lại dưới chân núi Thanh Ngạnh.
_______煉之__後酒性已通自去自來可大可小因見衆石俱得補天獨自己無_才不_得入選遂自怨自_愧日夜悲___哀一日正當嗟恒之際俄見一僧 ||| Sau khi luyện xong, hòn đá ấy đã có linh tính, tự mình đi lại, lớn nhỏ tùy ý. Thấy các hòn đá khác đều được chọn để vá trời, chỉ mình nó vô dụng, không được chọn, bèn tự oán tự trách, ngày đêm buồn bã than khóc. Một ngày nọ, đang lúc than thở, bỗng thấy một vị tăng xuất hiện.
